"name"	"ID"	"cand16_harsh_vs_cand16_pbs_p.val"	"cand16_harsh_vs_parental_harsh_p.val"	"cand16_harsh_vs_parental_pbs_p.val"	"cand16_pbs_vs_parental_harsh_p.val"	"cand16_pbs_vs_parental_pbs_p.val"	"parental_harsh_vs_parental_pbs_p.val"	"cand16_harsh_vs_cand16_pbs_p.adj"	"cand16_harsh_vs_parental_harsh_p.adj"	"cand16_harsh_vs_parental_pbs_p.adj"	"cand16_pbs_vs_parental_harsh_p.adj"	"cand16_pbs_vs_parental_pbs_p.adj"	"parental_harsh_vs_parental_pbs_p.adj"	"cand16_harsh_vs_cand16_pbs_significant"	"cand16_harsh_vs_parental_harsh_significant"	"cand16_harsh_vs_parental_pbs_significant"	"cand16_pbs_vs_parental_harsh_significant"	"cand16_pbs_vs_parental_pbs_significant"	"parental_harsh_vs_parental_pbs_significant"	"significant"	"cand16_harsh_vs_cand16_pbs_ratio"	"cand16_harsh_vs_parental_harsh_ratio"	"cand16_harsh_vs_parental_pbs_ratio"	"cand16_pbs_vs_parental_harsh_ratio"	"cand16_pbs_vs_parental_pbs_ratio"	"parental_harsh_vs_parental_pbs_ratio"	"cand16_harsh_centered"	"cand16_pbs_centered"	"parental_harsh_centered"	"parental_pbs_centered"
"33"	"HSP90AB1"	"P08238"	0.791932210850027	0.383138959656864	0.206140452848921	0.538005649292656	0.132963390577242	0.0427115595384219	0.934	0.744	0.801	1	0.045	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-0.326	-1.09	1.61	-0.766	1.93	2.7	0.0473	0.374	1.14	-1.56
"34"	"HSPA1B"	"P0DMV9"	0.00573625003782922	0.962602532711604	0.000177820332234313	0.00521189198704519	0.0983330461500418	0.000162589331372919	0.618	0.877	0.151	1	0.0263	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	3.01	-0.0443	4.66	-3.06	1.64	4.7	1.91	-1.11	1.95	-2.75
"35"	"HSPA5"	"P11021"	0.117909609894694	0.958431162617319	0.00245125385100419	0.129086266053244	0.0643869199793934	0.00272621572476282	0.865	0.876	0.384	1	0.0107	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	1.59	0.0506	3.5	-1.54	1.91	3.45	1.28	-0.303	1.23	-2.21
"36"	"HSPA6"	"P17066"	0.0167276828738537	0.849330379427377	0.000152844476845221	0.0113952065732556	0.0314125056184964	0.000106719803627223	0.732	0.863	0.141	1	0.00163	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	0.949	-0.0678	1.78	-1.02	0.836	1.85	0.667	-0.282	0.734	-1.12
"37"	"HSPA8"	"P11142"	0.00708436701715978	0.972116113810895	3.18235565157354e-05	0.00659633470681243	0.0133950461514471	2.9902559630764e-05	0.643	0.878	0.055	1	0.000139	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	1.05	-0.0119	2	-1.06	0.946	2.01	0.76	-0.293	0.772	-1.24
"38"	"HSPA9"	"P38646"	0.0108461993130787	0.623212429056246	5.92374289817253e-05	0.0291411172741558	0.0175613168500127	0.00014882507274141	0.69	0.824	0.083	1	0.000307	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	2.3	0.394	4.4	-1.9	2.1	4.01	1.77	-0.523	1.38	-2.63
"39"	"HSPG2"	"P98160"	0.758857333614408	0.172759457776801	0.0275052410802499	0.101874656638192	0.0499464296673348	0.00157500073523922	0.933	0.564	0.643	1	0.00566	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	0.443	-2.03	3.47	-2.47	3.03	5.51	0.471	0.0283	2.5	-3
"40"	"ILF2"	"Q12905"	3.02251621547408e-07	0.999999999999995	1.59648689121305e-07	3.02251621547406e-07	0.642380329453491	1.59648689121303e-07	0.000188	0.88	0.000129	1	0.469	1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	-5.34	3.55e-15	-5.62	5.34	-0.283	-5.62	-2.74	2.6	-2.74	2.88
"41"	"ILF3"	"Q12906-5"	9.14705101356276e-09	0.999999999999994	1.63807672209668e-08	9.14705101356269e-09	0.613291956397406	1.63807672209666e-08	1.78e-07	0.88	1.96e-06	1	0.446	1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	-5.18	3.55e-15	-4.96	5.18	0.227	-4.96	-2.54	2.65	-2.54	2.42
"42"	"KCTD10"	"Q9H3F6"	0.466186895530124	0.00010768843426253	0.733243346482602	2.81022901892062e-05	0.291091327635441	0.000206077376578196	0.918	2.63e-05	0.87	1	0.159	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	-0.766	5.4	0.356	6.17	1.12	-5.05	1.25	2.01	-4.16	0.893
"43"	"KCTD3"	"Q9Y597"	0.0375933836912168	0.00258439149494185	0.0375933836912165	3.3344421289041e-05	0.999999999999997	3.33444212890408e-05	0.798	0.00783	0.672	1	0.66	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	2.02	-3.21	2.02	-5.22	3.55e-15	5.22	0.207	-1.81	3.41	-1.81
"44"	"LOXL4"	"Q96JB6"	0.228117467486587	0.00400614794203249	0.093163028698056	0.000333078689274922	0.597744649850272	0.000120320793348564	0.893	0.0144	0.747	1	0.434	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	1.61	-4.38	2.3	-5.99	0.691	6.68	-0.117	-1.73	4.26	-2.42
"45"	"LPXN"	"O60711"	0.0106171571133771	0.00940101607622272	2.66116272408368e-10	0.952282625356901	4.52625670300523e-09	4.82839902745845e-09	0.688	0.0425	8.96e-12	1	2.15e-14	1	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	0.997	1.02	5.22	0.0207	4.23	4.2	1.81	0.812	0.792	-3.41
"46"	"MIF"	"P14174"	0.0157087275660525	0.855035689933371	2.68071196451388e-05	0.0226479568157335	0.00494896675764332	3.7136801097485e-05	0.726	0.864	0.0484	1	4.83e-06	1	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	1.34	0.091	2.96	-1.25	1.62	2.87	1.1	-0.242	1.01	-1.86
"47"	"MOCOS"	"Q96EN8"	0.739527089263811	0.00485625810163766	0.673799189020845	0.00245870479005767	0.92897886145074	0.00205048872567807	0.932	0.0183	0.866	1	0.632	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.305	-2.99	0.386	-3.29	0.0815	3.38	-0.575	-0.879	2.41	-0.961
"48"	"NAMPT"	"P43490"	0.183847153551156	0.111168970219032	0.0101738047690979	0.00774843349301725	0.140188429515177	0.000350091023492954	0.885	0.445	0.537	1	0.0488	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	1.8	-2.19	3.82	-4	2.02	6.01	0.858	-0.946	3.05	-2.96
"49"	"NCKAP1"	"Q9Y2A7"	0.999999999999996	0.00113661068060403	0.999999999999996	0.00113661068060402	1	0.00113661068060402	0.941	0.00251	0.886	1	0.66	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	3.55e-15	-3.2	3.55e-15	-3.2	0	3.2	-0.799	-0.799	2.4	-0.799
"50"	"NDUFS7"	"O75251-2"	0.454157375801115	0.155581626685047	0.0322711324094541	0.0392644064594449	0.00706284034369943	0.397602745723391	0.917	0.536	0.658	1	1.47e-05	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-0.56	1.09	1.73	1.65	2.29	0.635	0.564	1.12	-0.527	-1.16
"51"	"NDUFV1"	"P49821-2"	0.194288789188175	0.824209150543786	0.652379684003799	0.274772760587248	0.0894216878791685	0.503482632247973	0.887	0.859	0.864	1	0.0218	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-1.14	-0.189	0.385	0.949	1.52	0.574	-0.236	0.903	-0.0466	-0.62
"52"	"NUDT21"	"O43809"	0.0731154760521285	0.00989650786927732	0.0252260512823174	0.316533907460805	0.58130286038609	0.642912423211527	0.84	0.045	0.634	1	0.421	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.776	1.19	1	0.416	0.226	-0.19	0.743	-0.0333	-0.45	-0.26
"53"	"P4HA1"	"P13674"	0.999999999999996	0.00196954762979358	0.999999999999996	0.00196954762979356	1	0.00196954762979356	0.941	0.0056	0.886	1	0.66	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	3.55e-15	-2.64	3.55e-15	-2.64	0	2.64	-0.661	-0.661	1.98	-0.661
"54"	"P4HB"	"P07237"	0.999999999999996	0.000748547231411139	0.999999999999996	0.000748547231411133	1	0.000748547231411133	0.941	0.0015	0.886	1	0.66	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	3.55e-15	-3.39	3.55e-15	-3.39	0	3.39	-0.847	-0.847	2.54	-0.847
"55"	"PCMT1"	"P22061"	0.855832292185578	0.444362542116171	0.188510535916743	0.556863854553482	0.139224520064831	0.047529464666767	0.937	0.771	0.795	1	0.0483	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-0.141	-0.601	1.05	-0.459	1.2	1.65	0.0781	0.219	0.679	-0.976
